statename,ccode,leader,begyr,begmo,begday,leaderpos,affiliation,solschange,solsminchinit,solsminchdur,interim,archigosobsid,version
Switzerland,225,von Steiger,1945,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1945,5
Switzerland,225,Kobelt,1946,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1946,5
Switzerland,225,Etter,1947,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1947,5
Switzerland,225,Celio,1948,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1948,5
Switzerland,225,Nobs,1949,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1949,5
Switzerland,225,Petitpierre,1950,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1950,5
Switzerland,225,von Steiger,1951,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1951,5
Switzerland,225,Kobelt,1952,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1952,5
Switzerland,225,Etter,1953,1,1,President,"CVP/SVP/FDP/SP, CVP/SVP/FDP",0,0,1,0,SWZ-1953,5
Switzerland,225,Rubattel,1954,1,1,President,FDP/SVP/CVP,0,0,0,0,SWZ-1954,5
Switzerland,225,Petitpierre,1955,1,1,President,FDP/SVP/CVP,0,0,0,0,SWZ-1955,5
Switzerland,225,Feldmann,1956,1,1,President,SVP/FDP/CVP,0,0,0,0,SWZ-1956,5
Switzerland,225,Streuli,1957,1,1,President,FDP/SVP/CVP,0,0,0,0,SWZ-1957,5
Switzerland,225,Holenstein,1958,1,1,President,CVP/SVP/FDP,0,0,0,0,SWZ-1958,5
Switzerland,225,Chaudet,1959,1,1,President,"FDP/CVP/SVP, FDP/CVP/SVP/SP",0,0,1,0,SWZ-1959,5
Switzerland,225,Petitpierre,1960,1,1,President,"FDP/CVP/SVP/SP, FDP/SVP/CVP/SP",0,0,0,0,SWZ-1960,5
Switzerland,225,Wahlen,1961,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1961,5
Switzerland,225,Chaudet,1962,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1962,5
Switzerland,225,Spuhler,1963,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1963,5
Switzerland,225,von Moos,1964,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1964,5
Switzerland,225,Tschudi,1965,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1965,5
Switzerland,225,Schaffner,1966,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1966,5
Switzerland,225,Bonvin,1967,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1967,5
Switzerland,225,Spuhler,1968,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1968,5
Switzerland,225,von Moos,1969,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1969,5
Switzerland,225,Tschudi,1970,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1970,5
Switzerland,225,Gnagi,1971,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1971,5
Switzerland,225,Celio,1972,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1972,5
Switzerland,225,Bonvin,1973,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1973,5
Switzerland,225,Brugger,1974,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1974,5
Switzerland,225,Graber,1975,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1975,5
Switzerland,225,Gnagi,1976,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1976,5
Switzerland,225,Furgler,1977,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1977,5
Switzerland,225,Ritschard,1978,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1978,5
Switzerland,225,Hurlimann,1979,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1979,5
Switzerland,225,Chevallaz,1980,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1980,5
Switzerland,225,Furgler,1981,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1981,5
Switzerland,225,Honegger,1982,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1982,5
Switzerland,225,Aubert,1983,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1983,5
Switzerland,225,Schlumpf,1984,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1984,5
Switzerland,225,Furgler,1985,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1985,5
Switzerland,225,Egli,1986,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1986,5
Switzerland,225,Auber,1987,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1987,5
Switzerland,225,Stich,1988,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1988,5
Switzerland,225,Delamuraz,1989,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1989,5
Switzerland,225,Koller,1990,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1990,5
Switzerland,225,Cotti,1991,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1991,5
Switzerland,225,Felber,1992,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1992,5
Switzerland,225,Ogi,1993,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-1993,5
Switzerland,225,Stich,1994,1,1,President,SP/SVP/FDP/CVP,0,0,0,0,SWZ-1994,5
Switzerland,225,Villiger,1995,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1995,5
Switzerland,225,Delamuraz,1996,1,1,President,FDP/SVP/CVP/SP,0,0,0,0,SWZ-1996,5
Switzerland,225,Koller,1997,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1997,5
Switzerland,225,Cotti,1998,1,1,President,CVP/SVP/FDP/SP,0,0,0,0,SWZ-1998,5
Switzerland,225,Dreifuss,1999,1,1,President,SP/CVP/SVP/FDP,0,0,0,0,SWZ-1999,5
Switzerland,225,Ogi,2000,1,1,President,SVP/CVP/FDP/SP,0,0,0,0,SWZ-2000,5
Switzerland,225,Leuenberger,2001,1,1,President,SP/CVP/SVP/FDP,0,0,0,0,SWZ-2001,5
Switzerland,225,Villiger,2002,1,1,President,FDP/CVP/SVP/SP,0,0,0,0,SWZ-2002,5
Switzerland,225,Pascal Roger Couchepin,2003,1,1,President,FDP/CVP/SVP/SP,0,0,0,0,SWZ-2003,5
Switzerland,225,Deiss,2004,1,1,President,CVP/FDP/SVP/SP,0,0,0,0,SWZ-2004,5
Switzerland,225,Schmid,2005,1,1,President,SVP/FDP/CVP/SP,0,0,0,0,SWZ-2005,5
Switzerland,225,Leuenberger,2006,1,1,President,SP/FDP/CVP/SVP,0,0,0,0,SWZ-2006,5
Switzerland,225,Micheline Anne Marie Calmy-Rey,2007,1,1,President,"SP/FDP/CVP/SVP, SP/FDP/CVP",0,0,1,0,SWZ-2007,5
Switzerland,225,Pascal Roger Couchepin,2008,1,1,President,"FDP/SP/CVP, FDP/SP/CVP/SVP, FDP/SP/CVP/SVP/BDP",0,0,1,0,SWZ-2008,5
Switzerland,225,Hans-Rudolf Merz,2009,1,1,President,FDP/SP/CVP/SVP/BDP,0,0,0,0,SWZ-2009,5
Switzerland,225,Doris Leuthard,2010,1,1,President,CVP/FDP/SP/SVP/BDP,0,0,0,0,SWZ-2010,5
